concept,label,comment,identifier,inscheme
https://data.antwerp.be/id/term/aspace-collect/language/jpn,Japans,"
","
",https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/lat,Latijn,"
","
",https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/mul,Meertalig,"
","
",https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/nds,Niet gekend,"
",http://vocab.getty.edu/aat/300379012,https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/pol,Pools,"
","
",https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/por,Portugees,"
","
",https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/rus,Russisch,"
","
",https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/spa,Spaans,"
","
",https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/language/swe,Zweeds,"
","
",https://data.antwerp.be/id/term/aspace-collect/language
https://data.antwerp.be/id/term/aspace-collect/level/collection,Collection,"
","
",https://data.antwerp.be/id/term/aspace-collect/level
https://data.antwerp.be/id/term/aspace-collect/level/file,File,"
","
",https://data.antwerp.be/id/term/aspace-collect/level
https://data.antwerp.be/id/term/aspace-collect/level/fonds,Fonds,"
","
",https://data.antwerp.be/id/term/aspace-collect/level
https://data.antwerp.be/id/term/aspace-collect/level/series,Series,"
","
",https://data.antwerp.be/id/term/aspace-collect/level
https://data.antwerp.be/id/term/aspace-collect/level/subfonds,Subfonds,"
","
",https://data.antwerp.be/id/term/aspace-collect/level
https://data.antwerp.be/id/term/aspace-collect/level/subseries,Subseries,"
","
",https://data.antwerp.be/id/term/aspace-collect/level
https://data.antwerp.be/id/term/aspace-collect/note-type/accessrestrict,Toegangsbeperkingen,"
","
",https://data.antwerp.be/id/term/aspace-collect/note-type
https://data.antwerp.be/id/term/aspace-collect/note-type/accruals,Toegangen,"
","
",https://data.antwerp.be/id/term/aspace-collect/note-type
https://data.antwerp.be/id/term/aspace-collect/note-type/acqinfo,Aankoopinformatie,"
","
",https://data.antwerp.be/id/term/aspace-collect/note-type
https://data.antwerp.be/id/term/aspace-collect/note-type/altformavail,Alternatieve vormen beschikbaar,"
","
",https://data.antwerp.be/id/term/aspace-collect/note-type
https://data.antwerp.be/id/term/aspace-collect/note-type/appraisal,Waardering,"
","
",https://data.antwerp.be/id/term/aspace-collect/note-type
https://data.antwerp.be/id/term/aspace-collect/note-type/arrangement,Schikking,"
","
",https://data.antwerp.be/id/term/aspace-collect/note-type
