concept;parent;label;comment;aat_identifier
https://data.antwerp.be/id/term/aspace-collect;https://data.antwerp.be/id/term/aspace;Object (aspace);;
https://data.antwerp.be/id/term/aspace-collect/date-type;https://data.antwerp.be/id/term/aspace-collect;Datum type;;http://vocab.getty.edu/aat/300055863
https://data.antwerp.be/id/term/aspace-collect/date-type/inclusive;https://data.antwerp.be/id/term/aspace-collect/date-type;Inclusief;;
https://data.antwerp.be/id/term/aspace-collect/date-type/single;https://data.antwerp.be/id/term/aspace-collect/date-type;Enkel;;
https://data.antwerp.be/id/term/aspace-collect/extent-type;https://data.antwerp.be/id/term/aspace-collect;Omvang type;;http://vocab.getty.edu/aat/300055863
https://data.antwerp.be/id/term/aspace-collect/extent-type/archiefdozen;https://data.antwerp.be/id/term/aspace-collect/extent-type;Archiefdozen;;
https://data.antwerp.be/id/term/aspace-collect/extent-type/banden;https://data.antwerp.be/id/term/aspace-collect/extent-type;Banden;;
https://data.antwerp.be/id/term/aspace-collect/extent-type/gigabytes;https://data.antwerp.be/id/term/aspace-collect/extent-type;Gigabytes;;
https://data.antwerp.be/id/term/aspace-collect/extent-type/megabytes;https://data.antwerp.be/id/term/aspace-collect/extent-type;Megabytes;;
https://data.antwerp.be/id/term/aspace-collect/extent-type/meter;https://data.antwerp.be/id/term/aspace-collect/extent-type;Meter;;
https://data.antwerp.be/id/term/aspace-collect/extent-type/niet-gespecifieerd;https://data.antwerp.be/id/term/aspace-collect/extent-type;Niet-gespecifieerd;;
https://data.antwerp.be/id/term/aspace-collect/extent-type/omslagen;https://data.antwerp.be/id/term/aspace-collect/extent-type;Omslagen;;
https://data.antwerp.be/id/term/aspace-collect/extent-type/pakken;https://data.antwerp.be/id/term/aspace-collect/extent-type;Pakken;;
https://data.antwerp.be/id/term/aspace-collect/extent-type/stukken;https://data.antwerp.be/id/term/aspace-collect/extent-type;Stukken;;
https://data.antwerp.be/id/term/aspace-collect/language;https://data.antwerp.be/id/term/aspace-collect;Taal;;http://vocab.getty.edu/aat/300386046
https://data.antwerp.be/id/term/aspace-collect/language/afr;https://data.antwerp.be/id/term/aspace-collect/language;Afrikaans;;http://vocab.getty.edu/aat/300387782
https://data.antwerp.be/id/term/aspace-collect/language/dut;https://data.antwerp.be/id/term/aspace-collect/language;Nederlands;;http://vocab.getty.edu/aat/300388256
https://data.antwerp.be/id/term/aspace-collect/language/eng;https://data.antwerp.be/id/term/aspace-collect/language;Engels;;http://vocab.getty.edu/aat/300388277
https://data.antwerp.be/id/term/aspace-collect/language/fre;https://data.antwerp.be/id/term/aspace-collect/language;Frans;;http://vocab.getty.edu/aat/300388306
https://data.antwerp.be/id/term/aspace-collect/language/ger;https://data.antwerp.be/id/term/aspace-collect/language;Duits;;http://vocab.getty.edu/aat/300388344
https://data.antwerp.be/id/term/aspace-collect/language/gle;https://data.antwerp.be/id/term/aspace-collect/language;Iers;;
https://data.antwerp.be/id/term/aspace-collect/language/gre;https://data.antwerp.be/id/term/aspace-collect/language;Grieks;;
https://data.antwerp.be/id/term/aspace-collect/language/hun;https://data.antwerp.be/id/term/aspace-collect/language;Hongaars;;
https://data.antwerp.be/id/term/aspace-collect/language/ita;https://data.antwerp.be/id/term/aspace-collect/language;Italiaans;;
https://data.antwerp.be/id/term/aspace-collect/language/jpn;https://data.antwerp.be/id/term/aspace-collect/language;Japans;;
https://data.antwerp.be/id/term/aspace-collect/language/lat;https://data.antwerp.be/id/term/aspace-collect/language;Latijn;;
https://data.antwerp.be/id/term/aspace-collect/language/mul;https://data.antwerp.be/id/term/aspace-collect/language;Meertalig;;
https://data.antwerp.be/id/term/aspace-collect/language/nds;https://data.antwerp.be/id/term/aspace-collect/language;Niet gekend (nds);;http://vocab.getty.edu/aat/300379012
https://data.antwerp.be/id/term/aspace-collect/language/pol;https://data.antwerp.be/id/term/aspace-collect/language;Pools;;
https://data.antwerp.be/id/term/aspace-collect/language/por;https://data.antwerp.be/id/term/aspace-collect/language;Portugees;;
https://data.antwerp.be/id/term/aspace-collect/language/rus;https://data.antwerp.be/id/term/aspace-collect/language;Russisch;;
